0x1.011cd7796dc72p+7,0x1.0c39b68724ba2p+7,0x1.2bb9a1a304p+7,0x1.77ba8f78db45ep+7
0x1.acd79b71d0b84p+7,0x1.fba01688a975p+5,0x1.ff1d1404fc35ep+7,0x1.4d8cffc81f641p+7
0x1.a70e3d2956b09p+7,0x1.f3b69b7ddb05ep+5,0x1.f986df2097147p+7,0x1.4c114c60c83abp+7
0x1.aa8cff4b97227p+7,0x1.ea6f1bf24223dp+5,0x1.fce7b2aba9417p+7,0x1.497550f5f20fbp+7
0x1.a0a2064cd8081p+7,0x1.f5d006d675387p+5,0x1.f21bccc4fd2c7p+7,0x1.4a20a93316d75p+7
0x1.9fea18c72ca7cp+7,0x1.e78c20a751039p+5,0x1.f10bad247e748p+7,0x1.45b55357033c1p+7
0x1.96bd1f365040ap+7,0x1.f583f12da6d02p+5,0x1.e6ed0acebb312p+7,0x1.46dcf6b99b845p+7
0x1.90dd494d2383ap+7,0x1.ef792485f48fp+5,0x1.df982ed413376p+7,0x1.41beb53fb6fcp+7
0x1.8ed99f0fbe0d5p+7,0x1.f3d9531428d6bp+5,0x1.dd5ac557aaabfp+7,0x1.4247c7953a93fp+7
0x1.84dd5bd184327p+7,0x1.f72271544b67dp+5,0x1.d3c8cfabc65e9p+7,0x1.4421403e75ff2p+7
0x1.80751356a7dc5p+7,0x1.efd9af8b5a542p+5,0x1.cf219e839a4fdp+7,0x1.41b34ecf5db3fp+7
0x1.7a50283c1acbep+7,0x1.f62dacbb9c58fp+5,0x1.c89110bee6b58p+7,0x1.423dd0824134cp+7
0x1.7555f3fb459a3p+7,0x1.e7a6633545a55p+5,0x1.c43b2168982a7p+7,0x1.4032b36c3b373p+7
0x1.6e097ada4f376p+7,0x1.f136f6a02f078p+5,0x1.bd0bc1051876ep+7,0x1.42dee257f43e2p+7
0x1.662ff34c1c492p+7,0x1.e3b951055db82p+5,0x1.b59824deacf66p+7,0x1.407bcfb5c266ep+7
0x1.63c4f4ff7d7b3p+7,0x1.e7b2116af98a5p+5,0x1.b1c1e5560f7d5p+7,0x1.3df6a138a04b5p+7
0x1.57be0aec87227p+7,0x1.e46019c6c58e2p+5,0x1.a64575439117bp+7,0x1.3e78fcb06cb3cp+7
0x1.5468b0739b873p+7,0x1.dbb004a2759e6p+5,0x1.a2807c5412753p+7,0x1.3b389cec4bb32p+7
0x1.4c442bda630e3p+7,0x1.e5baef2ffbc7ep+5,0x1.9a7f221417e7dp+7,0x1.3e1268269990ap+7
0x1.40b2ec67b1e46p+7,0x1.d98421de6a70bp+5,0x1.8fc1945bcd31p+7,0x1.3d10d51d2bef4p+7
0x1.4142d19143eap+7,0x1.daaf94766c7bp+5,0x1.9055806ebc16p+7,0x1.3d65aa28baf5fp+7
0x1.2dd141a0cc1f5p+7,0x1.e71de4ce6e0dp+5,0x1.7cc6f499adca1p+7,0x1.40397b99af10cp+7
0x1.2d90d712a310ap+7,0x1.dbc02737d61b4p+5,0x1.7d0c9c5b2fa3ap+7,0x1.3eadfd92b7501p+7
0x1.22d148afe0938p+7,0x1.f272573417a2bp+5,0x1.7233cfbda39d8p+7,0x1.441c09f7f94c2p+7
0x1.1845381e7e522p+7,0x1.e8e458be7e588p+5,0x1.680d6f220a7aap+7,0x1.42b44df1676b8p+7
0x1.169a1d914dacdp+7,0x1.f11d1f1967af4p+5,0x1.66e36e52a5743p+7,0x1.460222312718fp+7
0x1.0613e95bdb7e4p+7,0x1.f46f188a5a7c1p+5,0x1.56a35e38bada2p+7,0x1.4784496e14412p+7
0x1.02fd93eef3b19p+7,0x1.eb5f6c14f2146p+5,0x1.53b8c4edebaa5p+7,0x1.45aca66ab7195p+7
0x1.f51598818215ep+6,0x1.f3ab7414080dbp+5,0x1.4b4325db1e0d7p+7,0x1.47b89f7d6d5aep+7
0x1.e45d4b00511f8p+6,0x1.ea267cf64163bp+5,0x1.442055b34bc66p+7,0x1.485f2a21c7bb4p+7
0x1.df9801361020bp+6,0x1.f27b886b4a772p+5,0x1.42560953da6f8p+7,0x1.4bed9cfac96bp+7
0x1.d618a92502327p+6,0x1.f0528fb77aec9p+5,0x1.3dba2c0d1038p+7,0x1.4bbc06722455cp+7
0x1.d371aed74a07p+6,0x1.f2d04581873c3p+5,0x1.3c621fe60fbbbp+7,0x1.4c502a8f05beap+7
0x1.c78a0207900bep+6,0x1.f2ec882bd6923p+5,0x1.36f5b74dd474cp+7,0x1.4da688f50a5b8p+7
0x1.ca4c3ade5321p+6,0x1.f11326cde239ap+5,0x1.39281cfa6346bp+7,0x1.4f365a9a8e594p+7
0x1.ca4c3af70d15ap+6,0x1.f113290fe279fp+5,0x1.39281cd45102ep+7,0x1.4f365aae2feebp+7
0x1.ca4c3ac81831bp+6,0x1.f113285edd9fbp+5,0x1.39281cc49161p+7,0x1.4f365a9511fd8p+7
0x1.a97579af3038cp+6,0x1.ea26f2f03c392p+5,0x1.2c5c9e88ed2bcp+7,0x1.56749dc14b874p+7
0x1.9bb553b848124p+6,0x1.e652012896e56p+5,0x1.26b23bd531064p+7,0x1.587e207d8ba97p+7
0x1.8e98d1628e6a6p+6,0x1.f6279b09e14fbp+5,0x1.21562b4c67c9ep+7,0x1.5f699ca3fefc2p+7
0x1.8c99e08f71d8ap+6,0x1.ebfbeca492016p+5,0x1.21ecd9ebfc9aap+7,0x1.60cc451321debp+7
0x1.833001985d483p+6,0x1.f3135be763898p+5,0x1.1ef779255b554p+7,0x1.66e63843eecfdp+7
0x1.77e779cb24fb4p+6,0x1.e5a0b62d96a4cp+5,0x1.1b3558382712bp+7,0x1.68334337f6fb4p+7
0x1.75e44acf8be5cp+6,0x1.e34a39bcbd612p+5,0x1.1b174ff4e6811p+7,0x1.69d10c1fabc3p+7
0x1.6969386b0ca36p+6,0x1.e43b8e1919e2fp+5,0x1.15e249c6768eap+7,0x1.6c9c465f38559p+7
0x1.6533a942564d2p+6,0x1.ea05766b5dcf3p+5,0x1.1499f23d93344p+7,0x1.7017c44d0dac8p+7
0x1.5b18346d8658ep+6,0x1.eb965d768356fp+5,0x1.0fd69965a4e14p+7,0x1.71342666f7c21p+7
0x1.5ead2927b0afap+6,0x1.f2c7fd3171b02p+5,0x1.11a92b3b48fbep+7,0x1.73149703c89eep+7
0x1.6fb446859c3ebp+6,0x1.f6722b09b5b5ap+5,0x1.1ab82764a284bp+7,0x1.755856ab192c4p+7
0x1.8b5699aa9114bp+6,0x1.f9fc4bb4a12acp+5,0x1.2977e08b53977p+7,0x1.788983c019f58p+7
0x1.9b7ea32a97a96p+6,0x1.f9098b5868cb4p+5,0x1.32dfc99abdfe1p+7,0x1.7b965a4b592cp+7
0x1.b5d0a6f2ce9a8p+6,0x1.f9f2073339988p+5,0x1.4112eec1e7e1ap+7,0x1.7e6364fcb1d44p+7
0x1.c65d0cfdd0f31p+6,0x1.ff9893ccf12c4p+5,0x1.4a6a2333d07a7p+7,0x1.8270f4d5b7227p+7
0x1.dbb1130319781p+6,0x1.fd52e221f1a58p+5,0x1.55d2b27e7343fp+7,0x1.83b74dc0cd90cp+7
0x1.f53ebc8438594p+6,0x1.08b8a788345efp+6,0x1.62f4e4c0fd4b7p+7,0x1.89a11e390e101p+7
0x1.07972cbe30abap+7,0x1.0b595499bf44fp+6,0x1.70c003259d4d9p+7,0x1.8cfca2dc90cbdp+7
0x1.199aeda20b0a3p+7,0x1.13f131b210c2p+6,0x1.82e5ff141d79ap+7,0x1.919d5181ce164p+7
0x1.273e09c050184p+7,0x1.13dc6fed7409ap+6,0x1.9169eb65b60cfp+7,0x1.93bf8c0945fb3p+7
0x1.3a186a1448de4p+7,0x1.14758958a9602p+6,0x1.a4cc69c6f5cefp+7,0x1.955d1ad377577p+7
0x1.4736eaafd421cp+7,0x1.1a9c9cb4bdcf5p+6,0x1.b283d8bc06f3ep+7,0x1.99eb477116b91p+7
0x1.56d9bfe12f39ep+7,0x1.1506e73d5af74p+6,0x1.c2d0b4613130ap+7,0x1.98c5624766f1p+7
0x1.620e53d1ec2ccp+7,0x1.1d10b60fa1919p+6,0x1.cec7a4036a3fep+7,0x1.9eab7e032d313p+7
0x1.5d0c9f8985906p+7,0x1.1e0daee3f2708p+6,0x1.ca4e78a7f882cp+7,0x1.a07c051cc39fbp+7
0x1.5f445dc22932p+7,0x1.18d8b92a07006p+6,0x1.cd0811f2a7c98p+7,0x1.9f230b90e6028p+7
0x1.56eefe08306e9p+7,0x1.215687b878165p+6,0x1.c5d37e284e28fp+7,0x1.a62cf840aac9ep+7
0x1.49cc201f3e7bp+7,0x1.1b96256f3bb04p+6,0x1.b99933b9b5972p+7,0x1.a58c9ac0498bcp+7
0x1.45a1848c5b86dp+7,0x1.1c1d2fdad5eeap+6,0x1.b651e640276fdp+7,0x1.a802e6b9652aap+7
0x1.2c86cd42260f1p+7,0x1.2775cb80b7cedp+6,0x1.9e0fcde8d9727p+7,0x1.afc78773a9e54p+7
0x1.20237fc24c1a2p+7,0x1.1a1c0ac43c20fp+6,0x1.934e164d94c16p+7,0x1.ad24899de1ef8p+7
0x1.129eb42cf4c08p+7,0x1.1ba8d4300122dp+6,0x1.87612e5e53e6cp+7,0x1.b1dccf2968cefp+7
0x1.00ad1581137dap+7,0x1.18d213bea3d33p+6,0x1.762d131922204p+7,0x1.b246a477f28fp+7
0x1.e80905be5798p+6,0x1.144a7eccb63f9p+6,0x1.6adbae31b9628p+7,0x1.b35483de04cddp+7
0x1.c219f1cdc517fp+6,0x1.0fd1b3d36f651p+6,0x1.592e84a57bd86p+7,0x1.b44a1616484d7p+7
0x1.af7670c1dbd23p+6,0x1.094e8adc839d3p+6,0x1.5100d28200e3ap+7,0x1.b3db98fe91ae6p+7
0x1.819b40a81a842p+6,0x1.0c9c6e29a9002p+6,0x1.3b421447ea4eap+7,0x1.b8705beecb78cp+7
0x1.7a725f4660614p+6,0x1.fda81d6b65e86p+5,0x1.38a546970c952p+7,0x1.b3f1499878d8ep+7
0x1.72c9c02c17d26p+6,0x1.071eb88b225cbp+6,0x1.35c9278f3998dp+7,0x1.ba7d1a49b635cp+7
0x1.512d534844f6ep+6,0x1.068b861def4dbp+6,0x1.25aba9d50b343p+7,0x1.bbe90aeebae34p+7
0x1.657f0347d4cfcp+6,0x1.f7166e6661254p+5,0x1.303df35c15982p+7,0x1.b76df3c67bf7ep+7
0x1.4d2a0a4f6efa3p+6,0x1.036878726cc8ap+6,0x1.24e0b7bad1964p+7,0x1.bd58c24e8a4cep+7
0x1.4d24dafc82824p+6,0x1.ee747952b897ap+5,0x1.25c22514d8d8p+7,0x1.b976300c825ep+7
0x1.52b8f62e2e07ap+6,0x1.f42862b3f9783p+5,0x1.2963217070d92p+7,0x1.bcf74f4236666p+7
0x1.3c35e41725efp+6,0x1.e339f42c3a4f5p+5,0x1.1effad814f16bp+7,0x1.bae18c3044123p+7
0x1.4a17720a7f492p+6,0x1.cc382edaf187cp+5,0x1.2757bbca61c22p+7,0x1.b89aa13497ad3p+7
0x1.3b1b0ec6b9f7ep+6,0x1.d63eebc329c2ep+5,0x1.212c4b1984a94p+7,0x1.be6305ad521bep+7
0x1.38b85a7641333p+6,0x1.b46e824bf5227p+5,0x1.2117b94683aa3p+7,0x1.b8b000838029p+7
0x1.38e818f234568p+6,0x1.baa395c496f83p+5,0x1.22901b2dc4cf4p+7,0x1.bda609ecca6ffp+7
0x1.25b8cfe10c065p+6,0x1.ac4c0cdef6ccfp+5,0x1.1a40b58cf53dcp+7,0x1.bd3cd8c8424ccp+7
0x1.3038853c901eep+6,0x1.96696b02f774ap+5,0x1.20d3bfc548b5fp+7,0x1.bb0bf7646b451p+7
0x1.21af48e93402bp+6,0x1.9fd7cbaf86aap+5,0x1.1a8ac9c62d9cap+7,0x1.bfd6a10697768p+7
0x1.207a72b77515bp+6,0x1.7ed0c40e6fa2fp+5,0x1.1b08de219e1eep+7,0x1.ba4b589973c18p+7
0x1.201b3628c00a4p+6,0x1.811c59a8b7986p+5,0x1.1bc47ffefec98p+7,0x1.bd24b0c7c4b78p+7
0x1.0c898709af0dcp+6,0x1.72e733ba22019p+5,0x1.12bfd1c23cfc2p+7,0x1.bb7d128da4b35p+7
0x1.1af7b3b4e048ap+6,0x1.62a00deab52bep+5,0x1.1ac56ee4b1ad7p+7,0x1.b96a9e01134e6p+7
0x1.08b24901d71bcp+6,0x1.660e07b358a51p+5,0x1.12b12b617ef12p+7,0x1.bce3b20162f15p+7
0x1.13854803c73dap+6,0x1.415fe9295f773p+5,0x1.18e6d2a4c6307p+7,0x1.b5b1a0529f9cep+7
0x1.21c0c27445ae3p+6,0x1.3bff6cbd9d1d6p+5,0x1.2118f687d110ep+7,0x1.b705d60b5354fp+7
0x1.13e60b9bf3597p+6,0x1.2ab305b0a7a71p+5,0x1.1b3f7c6d76eacp+7,0x1.b55dc6f53211cp+7
0x1.2cec5587db1fdp+6,0x1.09582800c8fbbp+5,0x1.28d7025110997p+7,0x1.afb3562775b3cp+7
0x1.2d80a7bb004ecp+6,0x1.05f9b1c1e37b3p+5,0x1.2a53ac955ccf1p+7,0x1.b1d295a9e0e2cp+7
0x1.40618b1bf9608p+6,0x1.abbb7ccaf2f34p+4,0x1.34f8bd820b2a7p+7,0x1.a8c7b3fb3b692p+7
0x1.56a62798091eep+6,0x1.9ec95fab6b268p+4,0x1.40e89df47542ap+7,0x1.a92667a8b5907p+7
0x1.54ea78f42d589p+6,0x1.65b9ede3d63aap+4,0x1.413e5bb5d0486p+7,0x1.a4fe019e81971p+7
0x1.76883f7b977c9p+6,0x1.255c99edcd8e7p+4,0x1.530961a98bbb2p+7,0x1.9f6297ef5ef73p+7
0x1.75ccbb9c5c96cp+6,0x1.1b2923588041fp+4,0x1.53d65f0a1febcp+7,0x1.a0ffd17ad1b9ap+7
0x1.8c10edf40a82cp+6,0x1.a0b8cc8ec6a7ep+3,0x1.5fe9e38d8a905p+7,0x1.99fbf281e7c9ep+7
0x1.9c922510b7904p+6,0x1.65aaa2b88bb9fp+3,0x1.68cc6506d3038p+7,0x1.97dbe657ad95cp+7
0x1.a0b1962b9e408p+6,0x1.d5da9c0a84454p+2,0x1.6c4475bf0348ep+7,0x1.93ac3af38703bp+7
0x1.bbdedf1a2d01ep+6,0x1.12288b1427b28p+2,0x1.7a9618137274bp+7,0x1.8f5da1afe726bp+7
0x1.bf12ed5baa9e3p+6,0x1.586468fa7f8d4p+1,0x1.7cec1b99fc04fp+7,0x1.8dff5c702066dp+7
0x1.d053389538ae8p+6,-0x1.4fc347f4f0a0fp+1,0x1.865149a861fefp+7,0x1.8546915863c3cp+7
0x1.e4a66efd6f296p+6,-0x1.10d0e5763ab68p+2,0x1.90cfc2934ee6ep+7,0x1.82d1353597cafp+7
0x1.e68943c4ae639p+6,-0x1.0a66b9fe44fabp+3,0x1.930d3c1da8ce4p+7,0x1.7de772e39728ap+7
0x1.0045402b9514ap+7,-0x1.733d2396cd501p+3,0x1.a136166b4fb74p+7,0x1.7a377bf18a488p+7
0x1.03ac2ccf0ed9p+7,-0x1.bd40fe1a85898p+3,0x1.a5ca87d48715p+7,0x1.7881c32da465bp+7
0x1.0b83c17573442p+7,-0x1.29072a8f34facp+4,0x1.af0d3ade0f528p+7,0x1.72b7f60d1cb5fp+7
0x1.1359b1f1b66f1p+7,-0x1.5ad36930270e7p+4,0x1.b85e5174711d9p+7,0x1.702926c5e8ceep+7
0x1.1359b1eea8ee1p+7,-0x1.5ad369a58c9afp+4,0x1.b85e519411c07p+7,0x1.7029270d192e7p+7
0x1.22c83704047fcp+7,-0x1.d94e7b7af2922p+4,0x1.c9ff133860496p+7,0x1.65c9ca3dca2eep+7
0x1.27e849b74ab5cp+7,-0x1.f98b842824576p+4,0x1.d00fda7d1113ep+7,0x1.64161d4b4c5fep+7
0x1.2f8a3bb5399bap+7,-0x1.1c1822aae217bp+5,0x1.d88a9dc305af4p+7,0x1.5e5a54aab885ep+7
0x1.396b60c72e9e8p+7,-0x1.2e8786ca91766p+5,0x1.e3f9fe92c012cp+7,0x1.5d98745d3351dp+7
0x1.3649755af6e94p+7,-0x1.40a7b0a1fffe4p+5,0x1.e20f4cb683456p+7,0x1.5c12f6cc20236p+7
0x1.374f5fc4d68e5p+7,-0x1.6314513c72afbp+5,0x1.e40d8e8440653p+7,0x1.55deaaa83ca04p+7
0x1.374f605f8b66bp+7,-0x1.63144eeccf8efp+5,0x1.e40d8ea71c407p+7,0x1.55deaa136b751p+7
0x1.2c3940695e408p+7,-0x1.93b8efaf408e8p+5,0x1.db62a9de32994p+7,0x1.4fb2a3b0afebep+7
0x1.2c9daf375e143p+7,-0x1.95529087cf16p+5,0x1.dc6fbe5152189p+7,0x1.50edc78bc90ecp+7
0x1.1c683272a91bep+7,-0x1.9f6318b4ae089p+5,0x1.cd1dd2f3f991ap+7,0x1.509d12e7151e4p+7
